patient	cell	Tumor	celltype1	celltype2	Run	plate	sample
BC01	BC01_02	Tumor	Tumor	Tumor	SRR2973279	BC01	BC01
BC01	BC01_03	Tumor	Tumor	Tumor	SRR2973280	BC01	BC01
BC01	BC01_04	Tumor	Tumor	Tumor	SRR2973281	BC01	BC01
BC01	BC01_05	Tumor	Tumor	Tumor	SRR2973282	BC01	BC01
BC01	BC01_06	Tumor	Tumor	Tumor	SRR2973283	BC01	BC01
BC01	BC01_08	Tumor	Tumor	Tumor	SRR2973284	BC01	BC01
BC01	BC01_10	Tumor	Tumor	Tumor	SRR2973285	BC01	BC01
BC01	BC01_12	Tumor	Tumor	Tumor	SRR2973286	BC01	BC01
BC01	BC01_33	Tumor	Tumor	Tumor	SRR2973287	BC01	BC01
BC01	BC01_34	Tumor	Tumor	Tumor	SRR2973288	BC01	BC01
BC01	BC01_53	Tumor	Tumor	Tumor	SRR2973289	BC01	BC01
BC01	BC01_55	Tumor	Tumor	Tumor	SRR2973290	BC01	BC01
BC01	BC01_57	Tumor	Tumor	Tumor	SRR2973291	BC01	BC01
BC01	BC01_66	Tumor	Tumor	Tumor	SRR2973292	BC01	BC01
BC01	BC01_69	Tumor	Tumor	Tumor	SRR2973293	BC01	BC01
BC01	BC01_70	Tumor	Tumor	Tumor	SRR2973294	BC01	BC01
BC01	BC01_72	Tumor	Tumor	Tumor	SRR2973295	BC01	BC01
BC01	BC01_74	nonTumor	Stromal	Stromal	SRR2973296	BC01	BC01
BC01	BC01_77	Tumor	Tumor	Tumor	SRR2973297	BC01	BC01
BC01	BC01_87	Tumor	Tumor	Tumor	SRR2973298	BC01	BC01
BC01	BC01_95	Tumor	Tumor	Tumor	SRR2973299	BC01	BC01
BC04	BC04_01	Tumor	Tumor	Tumor	SRR2973300	BC04	BC04
BC04	BC04_02	Tumor	Tumor	Tumor	SRR2973301	BC04	BC04
BC04	BC04_07	Tumor	Tumor	Tumor	SRR2973303	BC04	BC04
BC04	BC04_08	nonTumor	Stromal	Stromal	SRR2973304	BC04	BC04
BC04	BC04_09	Tumor	Tumor	Tumor	SRR2973305	BC04	BC04
BC04	BC04_11	Tumor	Tumor	Tumor	SRR2973306	BC04	BC04
BC04	BC04_13	Tumor	Tumor	Tumor	SRR2973307	BC04	BC04
BC04	BC04_20	Tumor	Tumor	Tumor	SRR2973309	BC04	BC04
BC04	BC04_21	nonTumor	Immune	Myeloid	SRR2973310	BC04	BC04
BC04	BC04_23	Tumor	Tumor	Tumor	SRR2973311	BC04	BC04
BC04	BC04_24	Tumor	Tumor	Tumor	SRR2973312	BC04	BC04
BC04	BC04_27	Tumor	Tumor	Tumor	SRR2973314	BC04	BC04
BC04	BC04_28	Tumor	Tumor	Tumor	SRR2973315	BC04	BC04
BC04	BC04_29	Tumor	Tumor	Tumor	SRR2973316	BC04	BC04
BC04	BC04_31	Tumor	Tumor	Tumor	SRR2973317	BC04	BC04
BC04	BC04_32	Tumor	Tumor	Tumor	SRR2973318	BC04	BC04
BC04	BC04_33	Tumor	Tumor	Tumor	SRR2973319	BC04	BC04
BC04	BC04_36	Tumor	Tumor	Tumor	SRR2973320	BC04	BC04
BC04	BC04_37	Tumor	Tumor	Tumor	SRR2973321	BC04	BC04
BC04	BC04_39	Tumor	Tumor	Tumor	SRR2973322	BC04	BC04
BC04	BC04_40	Tumor	Tumor	Tumor	SRR2973323	BC04	BC04
BC04	BC04_41	Tumor	Tumor	Tumor	SRR2973324	BC04	BC04
BC04	BC04_45	Tumor	Tumor	Tumor	SRR2973325	BC04	BC04
BC04	BC04_49	Tumor	Tumor	Tumor	SRR2973326	BC04	BC04
BC04	BC04_53	Tumor	Tumor	Tumor	SRR2973327	BC04	BC04
BC04	BC04_54	Tumor	Tumor	Tumor	SRR2973328	BC04	BC04
BC04	BC04_56	Tumor	Tumor	Tumor	SRR2973329	BC04	BC04
BC04	BC04_58	Tumor	Tumor	Tumor	SRR2973330	BC04	BC04
BC04	BC04_59	Tumor	Tumor	Tumor	SRR2973331	BC04	BC04
BC04	BC04_60	Tumor	Tumor	Tumor	SRR2973332	BC04	BC04
BC04	BC04_61	Tumor	Tumor	Tumor	SRR2973333	BC04	BC04
BC04	BC04_63	Tumor	Tumor	Tumor	SRR2973334	BC04	BC04
BC04	BC04_64	Tumor	Tumor	Tumor	SRR2973335	BC04	BC04
BC04	BC04_66	nonTumor	Immune	Tcell	SRR2973336	BC04	BC04
BC04	BC04_69	Tumor	Tumor	Tumor	SRR2973337	BC04	BC04
BC04	BC04_71	Tumor	Tumor	Tumor	SRR2973338	BC04	BC04
BC04	BC04_77	Tumor	Tumor	Tumor	SRR2973339	BC04	BC04
BC04	BC04_78	Tumor	Tumor	Tumor	SRR2973340	BC04	BC04
BC04	BC04_82	Tumor	Tumor	Tumor	SRR2973341	BC04	BC04
BC04	BC04_85	Tumor	Tumor	Tumor	SRR2973342	BC04	BC04
BC04	BC04_86	Tumor	Tumor	Tumor	SRR2973343	BC04	BC04
BC04	BC04_88	Tumor	Tumor	Tumor	SRR2973344	BC04	BC04
BC04	BC04_89	nonTumor	Immune	Tcell	SRR2973345	BC04	BC04
BC04	BC04_90	Tumor	Tumor	Tumor	SRR2973346	BC04	BC04
BC04	BC04_91	Tumor	Tumor	Tumor	SRR2973347	BC04	BC04
BC04	BC04_92	Tumor	Tumor	Tumor	SRR2973348	BC04	BC04
BC04	BC04_93	Tumor	Tumor	Tumor	SRR2973349	BC04	BC04
BC04	BC04_96	nonTumor	Immune	Tcell	SRR2973350	BC04	BC04
BC03	BC03_03	nonTumor	Immune	Tcell	SRR2973351	BC03	BC03
BC03	BC03_06	nonTumor	Immune	Bcell	SRR2973352	BC03	BC03
BC03	BC03_09	Tumor	Tumor	Tumor	SRR2973353	BC03	BC03
BC03	BC03_11	Tumor	Tumor	Tumor	SRR2973354	BC03	BC03
BC03	BC03_13	Tumor	Tumor	Tumor	SRR2973355	BC03	BC03
BC03	BC03_16	Tumor	Tumor	Tumor	SRR2973356	BC03	BC03
BC03	BC03_17	Tumor	Tumor	Tumor	SRR2973357	BC03	BC03
BC03	BC03_19	Tumor	Tumor	Tumor	SRR2973358	BC03	BC03
BC03	BC03_20	Tumor	Tumor	Tumor	SRR2973359	BC03	BC03
BC03	BC03_21	Tumor	Tumor	Tumor	SRR2973360	BC03	BC03
BC03	BC03_23	Tumor	Tumor	Tumor	SRR2973361	BC03	BC03
BC03	BC03_24	nonTumor	Immune	Bcell	SRR2973362	BC03	BC03
BC03	BC03_26	Tumor	Tumor	Tumor	SRR2973363	BC03	BC03
BC03	BC03_28	nonTumor	Immune	Bcell	SRR2973364	BC03	BC03
BC03	BC03_29	Tumor	Tumor	Tumor	SRR2973365	BC03	BC03
BC03	BC03_35	Tumor	Tumor	Tumor	SRR2973366	BC03	BC03
BC03	BC03_37	Tumor	Tumor	Tumor	SRR2973367	BC03	BC03
BC03	BC03_41	Tumor	Tumor	Tumor	SRR2973368	BC03	BC03
BC03	BC03_43	Tumor	Tumor	Tumor	SRR2973369	BC03	BC03
BC03	BC03_50	nonTumor	Immune	Tcell	SRR2973371	BC03	BC03
BC03	BC03_57	nonTumor	Immune	Tcell	SRR2973373	BC03	BC03
BC03	BC03_58	nonTumor	Immune	Tcell	SRR2973374	BC03	BC03
BC03	BC03_60	nonTumor	Immune	Bcell	SRR2973375	BC03	BC03
BC03	BC03_78	nonTumor	Immune	Tcell	SRR2973377	BC03	BC03
BC03	BC03_81	nonTumor	Immune	Bcell	SRR2973378	BC03	BC03
BC03	BC03_86	nonTumor	Immune	Bcell	SRR2973379	BC03	BC03
BC03	BC03_92	nonTumor	Immune	Bcell	SRR2973381	BC03	BC03
BC03	BC03_93	nonTumor	Immune	Bcell	SRR2973382	BC03	BC03
BC03	BC03_94	nonTumor	Immune	Tcell	SRR2973383	BC03	BC03
BC03	BC03LN_01	nonTumor	Immune	Bcell	SRR2973384	BC03LN	BC03LN
BC03	BC03LN_04	nonTumor	Immune	Bcell	SRR2973385	BC03LN	BC03LN
BC03	BC03LN_05	Tumor	Tumor	Tumor	SRR2973386	BC03LN	BC03LN
BC03	BC03LN_06	nonTumor	Immune	Bcell	SRR2973387	BC03LN	BC03LN
BC03	BC03LN_10	nonTumor	Immune	Bcell	SRR2973388	BC03LN	BC03LN
BC03	BC03LN_11	nonTumor	Immune	Bcell	SRR2973389	BC03LN	BC03LN
BC03	BC03LN_13	nonTumor	Immune	Bcell	SRR2973390	BC03LN	BC03LN
BC03	BC03LN_14	nonTumor	Immune	Bcell	SRR2973391	BC03LN	BC03LN
BC03	BC03LN_17	nonTumor	Immune	Bcell	SRR2973392	BC03LN	BC03LN
BC03	BC03LN_19	Tumor	Tumor	Tumor	SRR2973393	BC03LN	BC03LN
BC03	BC03LN_20	nonTumor	Immune	Bcell	SRR2973394	BC03LN	BC03LN
BC03	BC03LN_21	nonTumor	Immune	Bcell	SRR2973395	BC03LN	BC03LN
BC03	BC03LN_23	Tumor	Tumor	Tumor	SRR2973396	BC03LN	BC03LN
BC03	BC03LN_25	Tumor	Tumor	Tumor	SRR2973397	BC03LN	BC03LN
BC03	BC03LN_26	nonTumor	Immune	Bcell	SRR2973398	BC03LN	BC03LN
BC03	BC03LN_27	nonTumor	Immune	Bcell	SRR2973399	BC03LN	BC03LN
BC03	BC03LN_28	Tumor	Tumor	Tumor	SRR2973400	BC03LN	BC03LN
BC03	BC03LN_31	nonTumor	Immune	Bcell	SRR2973401	BC03LN	BC03LN
BC03	BC03LN_32	nonTumor	Immune	Bcell	SRR2973402	BC03LN	BC03LN
BC03	BC03LN_34	nonTumor	Immune	Bcell	SRR2973403	BC03LN	BC03LN
BC03	BC03LN_35	Tumor	Tumor	Tumor	SRR2973404	BC03LN	BC03LN
BC03	BC03LN_37	nonTumor	Immune	Bcell	SRR2973405	BC03LN	BC03LN
BC03	BC03LN_38	nonTumor	Immune	Bcell	SRR2973406	BC03LN	BC03LN
BC03	BC03LN_42	nonTumor	Immune	Bcell	SRR2973407	BC03LN	BC03LN
BC03	BC03LN_44	nonTumor	Immune	Bcell	SRR2973408	BC03LN	BC03LN
BC03	BC03LN_47	Tumor	Tumor	Tumor	SRR2973409	BC03LN	BC03LN
BC03	BC03LN_48	nonTumor	Immune	Bcell	SRR2973410	BC03LN	BC03LN
BC03	BC03LN_49	nonTumor	Immune	Bcell	SRR2973411	BC03LN	BC03LN
BC03	BC03LN_50	nonTumor	Immune	Bcell	SRR2973412	BC03LN	BC03LN
BC03	BC03LN_51	nonTumor	Immune	Bcell	SRR2973413	BC03LN	BC03LN
BC03	BC03LN_53	nonTumor	Immune	Tcell	SRR2973414	BC03LN	BC03LN
BC03	BC03LN_56	nonTumor	Immune	Tcell	SRR2973415	BC03LN	BC03LN
BC03	BC03LN_57	Tumor	Tumor	Tumor	SRR2973416	BC03LN	BC03LN
BC03	BC03LN_61	Tumor	Tumor	Tumor	SRR2973417	BC03LN	BC03LN
BC03	BC03LN_62	nonTumor	Immune	Bcell	SRR2973418	BC03LN	BC03LN
BC03	BC03LN_63	nonTumor	Immune	Bcell	SRR2973419	BC03LN	BC03LN
BC03	BC03LN_64	nonTumor	Immune	Bcell	SRR2973420	BC03LN	BC03LN
BC03	BC03LN_65	nonTumor	Immune	Bcell	SRR2973421	BC03LN	BC03LN
BC03	BC03LN_68	nonTumor	Immune	Bcell	SRR2973422	BC03LN	BC03LN
BC03	BC03LN_69	nonTumor	Immune	Bcell	SRR2973423	BC03LN	BC03LN
BC03	BC03LN_70	nonTumor	Immune	Bcell	SRR2973424	BC03LN	BC03LN
BC03	BC03LN_71	nonTumor	Immune	Bcell	SRR2973425	BC03LN	BC03LN
BC03	BC03LN_72	nonTumor	Immune	Bcell	SRR2973426	BC03LN	BC03LN
BC03	BC03LN_73	nonTumor	Immune	Tcell	SRR2973427	BC03LN	BC03LN
BC03	BC03LN_78	nonTumor	Immune	Tcell	SRR2973429	BC03LN	BC03LN
BC03	BC03LN_79	nonTumor	Immune	Bcell	SRR2973430	BC03LN	BC03LN
BC03	BC03LN_85	nonTumor	Immune	Bcell	SRR2973431	BC03LN	BC03LN
BC03	BC03LN_89	Tumor	Tumor	Tumor	SRR2973433	BC03LN	BC03LN
BC03	BC03LN_91	nonTumor	Immune	Tcell	SRR2973434	BC03LN	BC03LN
BC03	BC03LN_93	nonTumor	Immune	Bcell	SRR2973435	BC03LN	BC03LN
BC03	BC03LN_95	nonTumor	Immune	Bcell	SRR2973436	BC03LN	BC03LN
BC07	BC07_01	Tumor	Tumor	Tumor	SRR2973437	BC07	BC07
BC07	BC07_03	nonTumor	Immune	Tcell	SRR2973438	BC07	BC07
BC07	BC07_04	nonTumor	Immune	Myeloid	SRR2973439	BC07	BC07
BC07	BC07_06	Tumor	Tumor	Tumor	SRR2973440	BC07	BC07
BC07	BC07_08	Tumor	Tumor	Tumor	SRR2973441	BC07	BC07
BC07	BC07_09	nonTumor	Immune	Myeloid	SRR2973442	BC07	BC07
BC07	BC07_12	Tumor	Tumor	Tumor	SRR2973443	BC07	BC07
BC07	BC07_15	Tumor	Tumor	Tumor	SRR2973444	BC07	BC07
BC07	BC07_16	nonTumor	Immune	Tcell	SRR2973445	BC07	BC07
BC07	BC07_18	Tumor	Tumor	Tumor	SRR2973446	BC07	BC07
BC07	BC07_20	Tumor	Tumor	Tumor	SRR2973447	BC07	BC07
BC07	BC07_23	nonTumor	Stromal	Stromal	SRR2973448	BC07	BC07
BC07	BC07_24	Tumor	Tumor	Tumor	SRR2973449	BC07	BC07
BC07	BC07_27	Tumor	Tumor	Tumor	SRR2973450	BC07	BC07
BC07	BC07_30	nonTumor	Immune	Tcell	SRR2973451	BC07	BC07
BC07	BC07_31	Tumor	Tumor	Tumor	SRR2973452	BC07	BC07
BC07	BC07_35	Tumor	Tumor	Tumor	SRR2973453	BC07	BC07
BC07	BC07_36	Tumor	Tumor	Tumor	SRR2973454	BC07	BC07
BC07	BC07_38	Tumor	Tumor	Tumor	SRR2973455	BC07	BC07
BC07	BC07_39	Tumor	Tumor	Tumor	SRR2973456	BC07	BC07
BC07	BC07_42	nonTumor	Stromal	Stromal	SRR2973457	BC07	BC07
BC07	BC07_43	Tumor	Tumor	Tumor	SRR2973458	BC07	BC07
BC07	BC07_44	nonTumor	Stromal	Stromal	SRR2973459	BC07	BC07
BC07	BC07_50	nonTumor	Immune	Myeloid	SRR2973460	BC07	BC07
BC07	BC07_52	nonTumor	Stromal	Stromal	SRR2973461	BC07	BC07
BC07	BC07_56	nonTumor	Immune	Tcell	SRR2973462	BC07	BC07
BC07	BC07_57	Tumor	Tumor	Tumor	SRR2973463	BC07	BC07
BC07	BC07_59	Tumor	Tumor	Tumor	SRR2973464	BC07	BC07
BC07	BC07_60	nonTumor	Immune	Tcell	SRR2973465	BC07	BC07
BC07	BC07_61	nonTumor	Immune	Tcell	SRR2973466	BC07	BC07
BC07	BC07_63	nonTumor	Immune	Bcell	SRR2973467	BC07	BC07
BC07	BC07_65	Tumor	Tumor	Tumor	SRR2973468	BC07	BC07
BC07	BC07_66	Tumor	Tumor	Tumor	SRR2973469	BC07	BC07
BC07	BC07_67	Tumor	Tumor	Tumor	SRR2973470	BC07	BC07
BC07	BC07_68	nonTumor	Immune	Bcell	SRR2973471	BC07	BC07
BC07	BC07_69	nonTumor	Immune	Tcell	SRR2973472	BC07	BC07
BC07	BC07_72	Tumor	Tumor	Tumor	SRR2973473	BC07	BC07
BC07	BC07_73	Tumor	Tumor	Tumor	SRR2973474	BC07	BC07
BC07	BC07_75	Tumor	Tumor	Tumor	SRR2973475	BC07	BC07
BC07	BC07_78	Tumor	Tumor	Tumor	SRR2973476	BC07	BC07
BC07	BC07_79	nonTumor	Immune	Myeloid	SRR2973477	BC07	BC07
BC07	BC07_80	nonTumor	Immune	Bcell	SRR2973478	BC07	BC07
BC07	BC07_83	nonTumor	Immune	Myeloid	SRR2973479	BC07	BC07
BC07	BC07_87	Tumor	Tumor	Tumor	SRR2973480	BC07	BC07
BC07	BC07_89	Tumor	Tumor	Tumor	SRR2973481	BC07	BC07
BC07	BC07_93	nonTumor	Immune	Myeloid	SRR2973482	BC07	BC07
BC07	BC07_95	nonTumor	Immune	Myeloid	SRR2973483	BC07	BC07
BC07	BC07LN_02	Tumor	Tumor	Tumor	SRR2973485	BC07LN	BC07LN
BC07	BC07LN_03	nonTumor	Immune	Bcell	SRR2973486	BC07LN	BC07LN
BC07	BC07LN_04	nonTumor	Immune	Bcell	SRR2973487	BC07LN	BC07LN
BC07	BC07LN_05	nonTumor	Immune	Bcell	SRR2973488	BC07LN	BC07LN
BC07	BC07LN_06	Tumor	Tumor	Tumor	SRR2973489	BC07LN	BC07LN
BC07	BC07LN_10	nonTumor	Stromal	Stromal	SRR2973490	BC07LN	BC07LN
BC07	BC07LN_13	Tumor	Tumor	Tumor	SRR2973491	BC07LN	BC07LN
BC07	BC07LN_15	Tumor	Tumor	Tumor	SRR2973492	BC07LN	BC07LN
BC07	BC07LN_16	nonTumor	Immune	Bcell	SRR2973493	BC07LN	BC07LN
BC07	BC07LN_18	nonTumor	Immune	Bcell	SRR2973494	BC07LN	BC07LN
BC07	BC07LN_19	nonTumor	Immune	Bcell	SRR2973495	BC07LN	BC07LN
BC07	BC07LN_22	nonTumor	Immune	Bcell	SRR2973497	BC07LN	BC07LN
BC07	BC07LN_23	Tumor	Tumor	Tumor	SRR2973498	BC07LN	BC07LN
BC07	BC07LN_26	Tumor	Tumor	Tumor	SRR2973499	BC07LN	BC07LN
BC07	BC07LN_27	nonTumor	Immune	Bcell	SRR2973500	BC07LN	BC07LN
BC07	BC07LN_29	Tumor	Tumor	Tumor	SRR2973501	BC07LN	BC07LN
BC07	BC07LN_31	Tumor	Tumor	Tumor	SRR2973502	BC07LN	BC07LN
BC07	BC07LN_34	Tumor	Tumor	Tumor	SRR2973503	BC07LN	BC07LN
BC07	BC07LN_35	Tumor	Tumor	Tumor	SRR2973504	BC07LN	BC07LN
BC07	BC07LN_36	Tumor	Tumor	Tumor	SRR2973505	BC07LN	BC07LN
BC07	BC07LN_40	Tumor	Tumor	Tumor	SRR2973506	BC07LN	BC07LN
BC07	BC07LN_41	Tumor	Tumor	Tumor	SRR2973507	BC07LN	BC07LN
BC07	BC07LN_42	Tumor	Tumor	Tumor	SRR2973508	BC07LN	BC07LN
BC07	BC07LN_49	nonTumor	Immune	Bcell	SRR2973509	BC07LN	BC07LN
BC07	BC07LN_50	nonTumor	Immune	Bcell	SRR2973510	BC07LN	BC07LN
BC07	BC07LN_51	Tumor	Tumor	Tumor	SRR2973511	BC07LN	BC07LN
BC07	BC07LN_52	Tumor	Tumor	Tumor	SRR2973512	BC07LN	BC07LN
BC07	BC07LN_53	nonTumor	Immune	Bcell	SRR2973513	BC07LN	BC07LN
BC07	BC07LN_54	nonTumor	Immune	Tcell	SRR2973514	BC07LN	BC07LN
BC07	BC07LN_57	Tumor	Tumor	Tumor	SRR2973515	BC07LN	BC07LN
BC07	BC07LN_59	nonTumor	Immune	Bcell	SRR2973516	BC07LN	BC07LN
BC07	BC07LN_60	Tumor	Tumor	Tumor	SRR2973517	BC07LN	BC07LN
BC07	BC07LN_62	nonTumor	Immune	Bcell	SRR2973518	BC07LN	BC07LN
BC07	BC07LN_64	nonTumor	Immune	Bcell	SRR2973519	BC07LN	BC07LN
BC07	BC07LN_67	nonTumor	Immune	Bcell	SRR2973520	BC07LN	BC07LN
BC07	BC07LN_68	nonTumor	Immune	Bcell	SRR2973521	BC07LN	BC07LN
BC07	BC07LN_71	nonTumor	Immune	Bcell	SRR2973522	BC07LN	BC07LN
BC07	BC07LN_73	Tumor	Tumor	Tumor	SRR2973523	BC07LN	BC07LN
BC07	BC07LN_75	Tumor	Tumor	Tumor	SRR2973524	BC07LN	BC07LN
BC07	BC07LN_79	Tumor	Tumor	Tumor	SRR2973525	BC07LN	BC07LN
BC07	BC07LN_81	nonTumor	Immune	Bcell	SRR2973526	BC07LN	BC07LN
BC07	BC07LN_82	Tumor	Tumor	Tumor	SRR2973527	BC07LN	BC07LN
BC07	BC07LN_83	nonTumor	Immune	Bcell	SRR2973528	BC07LN	BC07LN
BC07	BC07LN_84	nonTumor	Immune	Bcell	SRR2973529	BC07LN	BC07LN
BC07	BC07LN_86	Tumor	Tumor	Tumor	SRR2973530	BC07LN	BC07LN
BC07	BC07LN_89	nonTumor	Immune	Bcell	SRR2973531	BC07LN	BC07LN
BC07	BC07LN_91	Tumor	Tumor	Tumor	SRR2973532	BC07LN	BC07LN
BC07	BC07LN_94	nonTumor	Immune	Bcell	SRR2973533	BC07LN	BC07LN
BC07	BC07LN_95	Tumor	Tumor	Tumor	SRR2973534	BC07LN	BC07LN
BC07	BC07LN_96	nonTumor	Immune	Bcell	SRR2973535	BC07LN	BC07LN
BC01	BC01_50	nonTumor	Stromal	Stromal	SRR5023384	BC01	BC01
BC02	BC02_02	Tumor	Tumor	Tumor	SRR5023386	BC02	BC02
BC02	BC02_08	Tumor	Tumor	Tumor	SRR5023387	BC02	BC02
BC02	BC02_09	Tumor	Tumor	Tumor	SRR5023388	BC02	BC02
BC02	BC02_10	Tumor	Tumor	Tumor	SRR5023389	BC02	BC02
BC02	BC02_11	Tumor	Tumor	Tumor	SRR5023390	BC02	BC02
BC02	BC02_12	Tumor	Tumor	Tumor	SRR5023391	BC02	BC02
